"","city","Beta","Se","P.value","RR","RR.low","RR.up","P.diff"
"1","Chicago",0.0310598275010608,0.0121907987066543,0.0108401782259602,1.03154721693265,1.00719204047758,1.05649133233513,NA
"2","San Francisco",0.0638448098380714,0.0602708603514547,0.289464025016213,1.06592696454672,0.94716316324103,1.19958243504731,0.593920262571781
"3","Kansas City",0.0627147326051325,0.0182607581078984,0.000593868950993004,1.0647230651299,1.02729003846728,1.10352009945603,0.149377020141953
"4","Louisville",0.0394954186578755,0.0431578453329833,0.360118769757058,1.04028573296919,0.955909148071104,1.13211010523643,0.85079912433829
"5","Tucson",0.0523684331455498,0.0352307981922415,0.13716303516581,1.05376391255459,0.983455722543432,1.1290985023002,0.567608338200461
"6","Los Angeles",0.0383382548153549,0.0218350473876651,0.0791203849262068,1.03908264815048,0.995552268917682,1.08451638693085,0.771014995574474
"7","Virginia Beach",-0.0408178419760627,0.0797256549442504,0.608665874692661,0.960003986450702,0.821127195246824,1.122368933018,0.372819703540473
